name,lat,lon
ALANGASI,-0.302910,-78.424910
AMAGUAÑA,-0.365552,-78.488169
ATAHUALPA (HABASPAMBA),0.147229,-78.355912
CALACALI,0.055893,-78.515110
CALDERON (CARAPUNGO),-0.085923,-78.427740
CONOCOTO,-0.281118,-78.476345
CUMBAYA,-0.201507,-78.432096
CHAVEZPAMBA,0.126263,-78.404249
CHECA (CHILPA),-0.150876,-78.280694
EL QUINCHE,-0.124082,-78.258394
GUALEA,0.116183,-78.769327
GUANGOPOLO,-0.252956,-78.440059
GUAYLLABAMBA,-0.052894,-78.342793
LA MERCED,-0.295199,-78.394793
LLANO CHICO,-0.127706,-78.446243
LLOA,-0.201095,-78.703259
NANEGAL,0.120456,-78.648038
NANEGALITO,0.052176,-78.708553
NAYON,-0.165019,-78.437797
NONO,-0.047822,-78.599890
PACTO,0.161157,-78.853020
PERUCHO,0.114107,-78.417784
PIFO,-0.273774,-78.307995
PINTAG,-0.364908,-78.358207
POMASQUI,-0.055224,-78.462924
PUELLARO,0.067564,-78.391969
PUEMBO,-0.167836,-78.371168
SAN ANTONIO,0.040501,-78.437911
SAN JOSE DE MINAS,0.187678,-78.492109
TABABELA,-0.151679,-78.354694
TUMBACO,-0.204898,-78.395692
YARUQUI,-0.179213,-78.307946
ZAMBIZA,-0.146981,-78.419167
QUITO,-0.181946,-78.478374
